accession,length,nb_contigs,category,filtering_method,serratax_id,serraplace_id,refseq_neighbour,refseq_pctid,refseq_quality,genome_neighbour,genome_pctid,genome_quality,fragment_neighbour,fragment_pctid,fragment_quality,platform
ERR1302945,425,1,D,bgc,,,*,0,unmapped,MH687949.1,100.0,partial,*,0,unmapped,ILLUMINA
ERR1430427,499,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR2214807,4590,1,D,checkv,11120,,NC_001451.1,91.7,unknown,KJ425485.1,100.0,partial,FJ008695.1,97.0,partial,ILLUMINA
ERR3179340,2189,5,D,bgc,,,NC_009657.1,96.5,unknown,MH687967.1,97.6,partial,KU182966.1,79.4,unknown,ILLUMINA
ERR4080528,5453,7,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,93.7,unknown,OXFORD_NANOPORE
ERR4080780,7631,7,C,checkv,694009,,NC_045512.2,99.8,partial,NC_045512.2,99.8,partial,MT084071.1,94.2,unknown,OXFORD_NANOPORE
ERR4145418,4547,7,D,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,93.8,unknown,OXFORD_NANOPORE
ERR4164959,4129,1,D,checkv,694009,,NC_045512.2,99.7,partial,NC_045512.2,99.7,partial,MT084071.1,94.4,unknown,OXFORD_NANOPORE
ERR4181772,6769,17,C,bgc,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,95.0,unknown,?
ERR4182395,9978,2,C,checkv,,,NC_045512.2,98.8,partial,NC_045512.2,98.8,partial,MT084071.1,76.1,unknown,OXFORD_NANOPORE
SRR057832,341,1,D,checkv,,,NC_001846.1,99.4,partial,NC_001846.1,99.4,partial,AY771998.1,93.3,unknown,ILLUMINA
SRR1030144,235,1,D,checkv,,,NC_004718.3,100.0,partial,MT308984.1,100.0,partial,DI195813.1,100.0,partial,ILLUMINA
SRR11039489,1911,3,D,checkv,11138,,NC_001846.1,100.0,partial,NC_001846.1,100.0,partial,X00509.1,99.4,partial,ILLUMINA
SRR11040129,880,1,D,checkv,694005,,NC_001846.1,100.0,partial,MF618252.1,100.0,partial,X00509.1,99.8,partial,ILLUMINA
SRR11494750,14174,5,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,88.8,unknown,ILLUMINA
SRR11573919,29941,1,A,checkv,694009,,NC_045512.2,99.9,near_complete,NC_045512.2,99.9,near_complete,MT084071.1,77.4,unknown,ILLUMINA
SRR11578069,29993,3,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,76.5,unknown,ILLUMINA
SRR11578320,3774,2,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,95.1,unknown,ILLUMINA
SRR11607653,8763,3,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,80.2,unknown,ILLUMINA
SRR11621920,29906,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11622222,29895,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,76.4,unknown,ILLUMINA
SRR11648014,148,1,D,bgc,,,NC_045512.2,99.3,partial,NC_045512.2,99.3,partial,*,0,unmapped,OXFORD_NANOPORE
SRR1168904,695,1,D,checkv,1335626,,NC_019843.3,100.0,partial,NC_019843.3,100.0,partial,KT036374.1,99.6,partial,ILLUMINA
SRR11741536,23425,2,C,checkv,11138,,NC_001846.1,99.7,partial,NC_001846.1,99.7,partial,MF416379.1,89.7,unknown,ILLUMINA
SRR11783595,32362,2,B,checkv,,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,78.9,unknown,ILLUMINA
SRR11810736,8517,9,C,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,95.0,unknown,ION_TORRENT
